R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL,FGA,FGM,FTA,FTM
95,"DeAndre Jordan Will be splitting minutes with Allen this season, but should still be able to produce respectable rebounding numbers if you're desperate for them",C,BRO,68,22.0,0.667 (231.9/347.5),0.683 (102.7/150.3),0.0,566.4,673.2,121.0,20.4,64.6,95.9,1.48,347.5,231.9,150.3,102.7
96,PJ Washington Has a nice overall game without being a standout in any category. Should continues to increase his output heading into season two,"SF,PF",CHA,70,32.4,0.461 (383.6/831.6),0.676 (130.2/192.5),123.9,1021.3,408.8,161.0,67.2,60.2,133.7,1.48,831.6,383.6,192.5,130.2
97,"Hassan Whiteside Whiteside is coming back from having a very Whiteside season (putting up elite rebounds, blocks, and FG%), but he'll likely be splitting minutes at C in Sacramento","PF,C",SAC,60,22.4,0.601 (268.2/446.4),0.667 (91.2/136.8),3.6,631.2,534.0,45.6,15.0,110.4,68.4,1.45,446.4,268.2,136.8,91.2
98,"Nemanja Bjelica A stop-gap until Bagley works things out, but he has value in the short-term as a streaming option",PF,SAC,70,24.2,0.483 (268.8/556.5),0.813 (60.9/74.9),116.2,715.4,385.0,170.8,49.0,36.4,85.4,1.32,556.5,268.8,74.9,60.9
99,"Victor Oladipo Is in a weird situation in Indiana, and may find himself on a new roster to start this season. He's a few seasons out from his one elite fantasy season and it's doubtful he'll be able to replicate his 2017-18 numbers","SG,SF",IND,60,31.7,0.429 (409.2/954.6),0.824 (171.0/207.6),120.6,1110.0,286.2,258.6,85.8,13.8,177.0,1.32,954.6,409.2,207.6,171.0
100,"Devonte' Graham Started the season red hot, but started to slow down once teams focused on him as Charlotte's best offensive weapon. Won't get as much attention this season with Hayward on the roster, but his production is expected to dip with such a crowded guard rotation","PG,SG",CHA,70,30.6,0.376 (348.6/926.8),0.825 (175.0/212.1),212.1,1084.3,205.8,408.1,74.9,12.6,179.9,1.29,926.8,348.6,212.1,175.0
101,"Rui Hachimura He's still a little raw, but he's the best young player on the roster, so he'll continue to see minutes","SF,PF",WAS,67,32.4,0.467 (375.9/805.3),0.827 (185.6/224.5),50.9,988.3,471.7,139.4,68.3,15.4,95.8,1.27,805.3,375.9,224.5,185.6
102,"Derrick Rose Will Derrick Rose continue to shoot 49% from the field this season? Probably not, but he provides great value for somebody who can be had late in drafts","PG,SG",DET,64,25.5,0.478 (454.4/950.4),0.856 (147.8/172.8),57.6,1114.2,147.8,313.6,51.2,20.5,160.6,1.20,950.4,454.4,172.8,147.8
103,"JJ Redick Will provide much-needed outside shooting for New Orleans this season, but at this point in his career, he doesn't offer much outside of 3PM, PTS, and FT%",SG,NOP,64,26.4,0.456 (313.6/687.4),0.898 (179.8/200.3),205.4,1013.1,167.0,133.1,19.8,13.4,80.0,1.11,687.4,313.6,200.3,179.8
104,"Norman Powell Took a little longer to step-up his game, but he finally got there. Should be flirting with top-80 production if he continues to see 25+ minutes a game","SG,SF",TOR,55,27.8,0.496 (306.9/619.3),0.848 (134.8/159.0),122.7,871.2,193.6,96.8,64.4,21.5,80.9,1.09,619.3,306.9,159.0,134.8
105,"Aaron Gordon Don't mind me, I'm just here waiting for Aaron Gordon to remember how to play basketball again","SF,PF",ORL,68,32.5,0.439 (375.4/855.4),0.712 (178.2/250.2),96.6,1024.8,535.2,257.0,55.8,41.5,110.8,1.04,855.4,375.4,250.2,178.2
106,Miles Bridges Potentially comes off the bench next season and the addition of Hayward limits his ability to break out,"SF,PF",CHA,70,29.4,0.452 (373.8/827.4),0.779 (108.5/139.3),102.9,959.7,391.3,121.8,44.8,60.9,108.5,1.01,827.4,373.8,139.3,108.5
107,"Serge Ibaka Added a three-point shot to his game, which will help extend his career. Should be returning top-100 value in LA","PF,C",LAC,62,28.2,0.509 (387.5/762.0),0.694 (99.8/143.8),81.2,955.4,512.1,87.4,31.0,50.2,124.6,0.98,762.0,387.5,143.8,99.8
108,"Coby White Coby White's game is the definition of a rollercoaster ride, but it's one you want to be taking in punt FG% builds","PG,SG",CHI,70,32.1,0.414 (437.5/1057.7),0.807 (140.7/174.3),189.7,1205.4,308.7,238.0,70.0,7.0,155.4,0.87,1057.7,437.5,174.3,140.7
109,Darius Bazley Had a good enough bubble performance that suggests minutes will open up for Bazley to start at PF,"SF,PF",OKL,64,27.1,0.437 (297.0/679.0),0.759 (82.6/108.8),121.6,798.1,395.5,90.2,50.6,69.1,90.2,0.81,679.0,297.0,108.8,82.6
110,"Donte DiVincenzo He's proving to be a good end-of-roster 3s and steals guy, but he doesn't do enough in other categories","PG,SG",MIL,68,25.2,0.454 (260.4/573.9),0.748 (74.8/100.0),96.6,692.9,357.7,171.4,96.6,22.4,104.0,0.79,573.9,260.4,100.0,74.8
111,"JaVale McGee At this point in his career, on this roster, he's nothing more than a blocks streamer or end-of-roster big man",C,CLE,68,17.2,0.644 (204.0/316.9),0.669 (56.4/84.3),0.0,465.1,408.7,35.4,35.4,98.6,56.4,0.77,316.9,204.0,84.3,56.4
112,Kevin Love Missed games will continue to be an issue for Love heading into the season as he finds himself playing next to somebody who has a tendancy of stealing rebounds from teammates,"PF,C",CLE,54,29.5,0.454 (287.3/632.3),0.864 (164.2/190.1),126.9,865.6,424.4,145.8,27.5,16.7,121.5,0.65,632.3,287.3,190.1,164.2
113,Terrence Ross He's a 3-point streamer when his shot is falling,"SG,SF",ORL,67,27.4,0.421 (328.3/779.2),0.852 (154.1/180.9),174.2,984.9,214.4,80.4,73.7,20.1,67.0,0.63,779.2,328.3,180.9,154.1
114,"Jordan Clarkson A gunner off the bench, but he provides very little in terms of non-scoring categories","PG,SG",UTA,67,24.7,0.447 (349.7/783.2),0.866 (181.6/209.7),140.0,1020.4,167.5,167.5,42.2,20.8,91.1,0.59,783.2,349.7,209.7,181.6
115,"Will Barton We've seen this movie before. He's still capable of getting hot, but Denver are better off moving him to a bench role","SG,SF",DEN,68,27.5,0.443 (319.6/722.2),0.770 (100.0/129.9),109.5,848.6,350.9,197.2,61.9,30.6,89.8,0.50,722.2,319.6,129.9,100.0
116,"Kevon Looney There's plenty of room for improvement, but he has the opportunity to cement himself as a 22-24 minute per game starter","PF,C",GSW,64,22.7,0.521 (236.8/454.4),0.719 (55.7/77.4),0.0,528.6,440.3,139.5,83.8,41.6,83.8,0.49,454.4,236.8,77.4,55.7
117,"P.J. Tucker The lone center on the roster (who's really a SF/PF) is expected to play as many minutes as his body can handle. Still, only a borderline top-100 guy even if he's playing 35 minutes a night","PF,C",HOU,71,34.7,0.424 (179.6/423.9),0.757 (39.8/52.5),107.9,506.2,474.3,115.0,78.8,36.2,71.7,0.46,423.9,179.6,52.5,39.8
118,Darius Garland He hasn't had a great start to his career but should improve heading into season two (even if his FG% doesn't),PG,CLE,70,31.6,0.424 (395.5/932.4),0.879 (112.0/127.4),163.1,1066.8,147.7,309.4,60.2,7.7,205.1,0.44,932.4,395.5,127.4,112.0
119,"Julius Randle Thibs has a habit of playing guys he likes heavy minutes, but the fit with Toppin isn't ideal for him","PF,C",NYK,65,32.2,0.463 (425.1/917.8),0.727 (254.2/349.7),76.1,1180.4,603.2,197.0,51.4,18.9,191.1,0.42,917.8,425.1,349.7,254.2
120,"Mike Conley It was a season to forget for Conley, but his performance in the playoffs suggests he's going to bounce back",PG,UTA,58,33.8,0.423 (346.3/817.8),0.823 (167.0/203.0),135.1,994.7,216.3,297.5,63.2,7.0,135.1,0.38,817.8,346.3,203.0,167.0
121,Joe Harris Harris will get plenty of open looks as teams focus their defensive efforts on Kyrie and KD,"SG,SF",BRO,70,30.2,0.483 (378.7/784.0),0.734 (63.7/86.8),175.7,996.8,266.0,119.0,38.5,14.7,112.0,0.34,784.0,378.7,86.8,63.7
122,"Killian Hayes Landed in the absolute best spot in terms of fantasy production, and should be the opening night starter on a team starting their re-build","PG,SG",DET,64,28.6,0.435 (353.9/814.1),0.850 (108.8/128.0),58.9,874.9,197.1,381.4,76.2,14.7,169.6,0.33,814.1,353.9,128.0,108.8
123,"Seth Curry We should see the same amount of minutes from Seth this season whether it's as a fringe starter or gunner off the bench, but he's not much more than a 3PM streamer or end-of-bench guy","PG,SG",PHI,67,26.7,0.484 (331.0/684.1),0.806 (91.8/113.9),174.9,928.6,160.8,134.7,44.9,8.0,81.1,0.26,684.1,331.0,113.9,91.8
124,Bogdan Bogdanovic Has a well-rounded fantasy game and should be locked in as a starter for Atlanta,"SG,SF,PF",ATL,62,29.8,0.448 (325.5/727.3),0.782 (82.5/105.4),160.0,894.0,201.5,201.5,65.1,11.8,101.1,0.25,727.3,325.5,105.4,82.5
125,"Tyler Herro Should be playing 30+ minutes a night heading into season two, but chances are he'll be over-drafted due to his playoff run","PG,SG,SF",MIA,64,31.2,0.426 (360.3/846.1),0.876 (117.8/134.4),162.6,1001.6,301.4,161.9,44.2,14.7,117.8,0.24,846.1,360.3,134.4,117.8
126,Harrison Barnes Doesn't provide much outside of points and 3s and has little upside moving forward. There are more exciting picks to make,"SF,PF",SAC,70,33.8,0.464 (345.1/743.4),0.812 (203.0/249.9),99.4,991.2,338.1,148.4,40.6,13.3,81.2,0.23,743.4,345.1,249.9,203.0
127,Royce O'Neale His ceiling is being able to spot-start as a low usage defensive specialist,"SF,PF",UTA,70,28.2,0.455 (168.7/371.0),0.756 (41.3/54.6),88.9,467.6,375.9,170.8,71.4,34.3,69.3,0.18,371.0,168.7,54.6,41.3
128,"Dwight Powell His output will increase when Porzingis is out of the lineup, but he's not somebody to rely on","PF,C",DAL,68,26.8,0.623 (250.2/401.9),0.661 (129.9/196.5),18.4,648.7,397.8,108.8,61.2,42.2,62.6,0.17,401.9,250.2,196.5,129.9
129,"John Wall Will start the season slow given his return from injury, but I don't see his role changing much in Houston given he was always going to be playing second fiddle in Washington",PG,HOU,55,30.1,0.433 (337.7/779.9),0.733 (161.7/220.6),99.6,936.7,193.6,413.1,64.9,33.6,226.1,0.15,779.9,337.7,220.6,161.7
130,Montrezl Harrell Doesn't provide anything outside of the typical big-man stats and Gasol limits his ability to play big minutes at C,"PF,C",LAL,64,26.1,0.582 (401.9/690.6),0.661 (211.2/319.4),0.0,1014.4,405.1,97.3,33.9,62.7,97.3,0.08,690.6,401.9,319.4,211.2
131,"Malik Beasley He ended his season in Minnesota on a tear, but rotations are getting crowded in Minnesota","PG,SG",MIN,64,26.3,0.452 (325.1/718.7),0.839 (73.6/87.7),158.7,883.2,175.4,110.7,73.6,9.6,83.2,0.08,718.7,325.1,87.7,73.6
132,Dorian Finney-Smith,"SF,PF",DAL,70,26.1,0.459 (225.4/490.7),0.736 (74.2/100.8),108.5,632.8,373.8,112.7,53.9,43.4,67.2,0.01,490.7,225.4,100.8,74.2
133,Ricky Rubio A great steals and assists option who can be had late in drafts,PG,MIN,64,26.4,0.415 (217.6/524.8),0.856 (148.5/173.4),59.5,643.8,211.2,386.6,71.0,10.2,133.8,-0.01,524.8,217.6,173.4,148.5
134,"Joe Ingles His fantasy output has started to regress, but the assists and 3-pointers should still be there","SG,SF",UTA,68,27.6,0.441 (214.9/486.9),0.769 (63.2/82.3),126.5,619.5,246.2,328.4,57.1,12.9,126.5,-0.04,486.9,214.9,82.3,63.2
135,Kemba Walker A 4-category player who's best suited to punt FG% builds,PG,BOS,48,30.7,0.431 (300.0/695.5),0.865 (166.6/192.5),144.0,910.6,171.4,189.1,40.3,18.7,99.8,-0.04,695.5,300.0,192.5,166.6
136,"Andrew Wiggins Wiggins is Golden States' problem now, but I have more faith in him playing within an offense for the Warriors than any other roster","SG,SF",GSW,67,32.8,0.447 (459.0/1027.8),0.715 (216.4/302.8),115.9,1249.6,274.7,208.4,43.6,55.6,154.8,-0.06,1027.8,459.0,302.8,216.4
137,"Kevin Porter Jr. Looked the best of the Cleveland rookies last season and had a promising stretch of games before getting injured, but Okoro limits his time at SF","SG,SF",CLE,64,27.9,0.454 (321.3/707.8),0.754 (131.2/174.1),112.6,886.4,275.2,173.4,67.8,26.2,155.5,-0.08,707.8,321.3,174.1,131.2
138,Lauri Markkanen Injuries and missed games continue to hurt Lauri's fantasy value. He could slide in drafts if people are only looking at his numbers from last season,"PF,C",CHI,50,32.5,0.435 (300.5/690.5),0.835 (162.5/194.5),120.5,884.0,360.5,80.5,45.5,27.0,92.5,-0.09,690.5,300.5,194.5,162.5
139,"Davis Bertans Flirted with top-80 value last season, mostly because of his 3.7 three-pointers made per game. His ceiling is capped until he starts contributing to non-shooting categories","PF,C",WAS,60,27.1,0.434 (254.4/586.8),0.824 (98.4/119.4),192.0,799.8,233.4,88.2,36.6,31.2,57.0,-0.11,586.8,254.4,119.4,98.4
140,James Wiseman Expecting him to split minutes at C with his minutes gradually increasing as the season goes on,C,GSW,65,25.2,0.524 (260.0/496.6),0.694 (133.9/193.1),0.0,653.9,523.9,22.8,20.2,102.7,68.9,-0.17,496.6,260.0,193.1,133.9
141,Tyrese Haliburton Has the size and shooting ability to play SG and is an excellent fit next to Fox,"PG,SG",SAC,64,26.4,0.445 (287.4/645.1),0.791 (87.0/110.1),90.9,752.6,215.0,240.6,79.4,17.9,136.3,-0.19,645.1,287.4,110.1,87.0
142,Paul Millsap Not much long-term appeal here as he's clearly in the twilight of his career,"PF,C",DEN,60,24.1,0.477 (243.0/509.4),0.811 (136.2/168.0),65.4,687.6,337.8,94.8,53.4,35.4,82.8,-0.24,509.4,243.0,168.0,136.2
143,"Tim Hardaway Jr. His ceiling is capped, and it doesn't look like he'll be more than a contributor to the PTS, 3PM, and FT% categories","SG,SF",DAL,67,29.6,0.436 (365.2/838.2),0.808 (141.4/174.9),195.0,1066.6,225.1,128.0,40.9,7.4,87.8,-0.24,838.2,365.2,174.9,141.4
144,"Marc Gasol Might get the gentleman's start at C, but I can't see him playing enough minutes to crack the top-100",C,LAL,60,25.7,0.429 (165.6/386.4),0.732 (49.2/67.2),79.8,460.2,380.4,202.8,49.2,55.2,79.8,-0.25,386.4,165.6,67.2,49.2
145,"Dennis Schroder Had a dramatic increase in output last season, but his usage won't be as high in LA",PG,LAL,67,28.9,0.451 (383.2/849.6),0.832 (169.5/203.7),107.2,1043.2,203.0,225.8,39.5,11.4,141.4,-0.28,849.6,383.2,203.7,169.5
146,"Danilo Gallinari Capable of giving you a quality return in PTS and FT%, but Atlanta isn't a great fit. He's not mobile enough to play SF full time, and Atlanta already has a quality starting PF","SF,PF",ATL,58,26.2,0.445 (245.3/551.6),0.896 (200.7/223.9),135.1,826.5,233.2,88.7,31.9,5.2,66.7,-0.32,551.6,245.3,223.9,200.7
147,"LaMelo Ball I won't be surprised if we see a lot of 3-guard line-ups in Charlotte, but Hayward takes the ball out of his hands, and LaMelo is at his best when he's handling the ball","PG,SG",CHA,65,28.4,0.397 (321.1/808.6),0.727 (114.4/157.3),106.0,862.6,331.5,399.1,80.0,13.7,179.4,-0.34,808.6,321.1,157.3,114.4
148,"Patrick Beverley He's the perfect PG for this Clippers roster, but at this point in his career, he doesn't have much upside in fantasy","PG,SG",LAC,60,26.9,0.432 (181.8/420.6),0.670 (37.8/56.4),100.2,502.2,326.4,225.6,69.0,31.2,81.6,-0.36,420.6,181.8,56.4,37.8
149,"Aaron Holiday The best-case scenario is that he becomes the first guard off the bench once everybody is healthy, but he has proved a worthy fill-in starter when given the opportunity",PG,IND,67,26.9,0.439 (274.7/625.1),0.846 (81.1/95.8),102.5,732.3,169.5,249.9,59.0,22.1,95.8,-0.37,625.1,274.7,95.8,81.1
150,"Marvin Bagley III We're starting to see a concerning pattern with Bagley. He gets hurt, comes back and does some nice things, and then misses more games. He has the potential to be a walking double-double, but he needs to find a way to stay on the court","PF,C",SAC,58,28.6,0.472 (353.2/748.2),0.794 (120.6/152.0),24.9,851.4,469.8,50.5,31.9,56.8,95.7,-0.39,748.2,353.2,152.0,120.6
151,"Gary Harris It's time to accept Harris for what he is - a decent real-life NBA player, but a below-average fantasy player.","SG,SF",DEN,67,31.4,0.422 (288.8/684.1),0.820 (94.5/115.2),96.5,768.5,209.0,150.1,95.1,20.8,94.5,-0.43,684.1,288.8,115.2,94.5
152,"Troy Brown Jr. Didn't really take the opportunity on a depleted Washington roster last season, but still has some untapped potential","SG,SF",WAS,67,25.8,0.445 (264.0/593.6),0.790 (105.9/134.0),73.0,706.2,363.1,171.5,79.1,6.7,81.1,-0.47,593.6,264.0,134.0,105.9
153,"Danny Green A 3-point streamer who's still capable of getting close to a steal and block a game, but he's not somebody to look at unless you're in a deep league","SG,SF",PHI,70,24.9,0.414 (203.7/492.1),0.714 (35.0/49.0),133.7,576.1,238.7,91.7,84.0,38.5,63.0,-0.60,492.1,203.7,49.0,35.0
154,"Blake Griffin His value is at an all-time low, and it's questionable how his body will hold up this season, but he's still capable of putting up numbers without relying on athletisism (averated 2.5 3PM in 2018-19 and 1.5 last season)","PF,C",DET,58,32.4,0.445 (303.3/680.9),0.762 (247.1/324.2),93.4,947.7,420.5,208.8,30.7,25.5,149.6,-0.60,680.9,303.3,324.2,247.1
155,"Josh Okogie His shooting percentages improved from his rookie season and should continue to develop. His upside seems limited, though","SG,SF",MIN,68,25.3,0.438 (202.6/463.1),0.802 (170.7/212.8),61.9,637.8,293.8,109.5,83.6,27.2,95.9,-0.61,463.1,202.6,212.8,170.7
156,Aron Baynes The starting spot should be his and the Raptors inherit the best fan account on Twitter,C,TOR,58,28.6,0.478 (294.1/615.4),0.759 (98.6/129.9),85.8,773.1,432.1,121.2,15.1,37.7,91.1,-0.70,615.4,294.1,129.9,98.6
157,Cam Reddish His streaky shooting means he's best suited to punt FG% builds,"SF,PF",ATL,68,27.3,0.418 (303.3/725.6),0.802 (135.3/168.6),116.3,857.5,238.0,91.1,73.4,36.7,127.8,-0.71,725.6,303.3,168.6,135.3
158,Mo Bamba Has yet to prove that he's anything more than a blocks specialist at this early stage of his career,C,ORL,63,17.6,0.457 (163.2/357.2),0.626 (39.1/62.4),54.8,420.2,380.5,54.2,30.9,104.0,54.2,-0.71,357.2,163.2,62.4,39.1
159,"Obi Toppin The fit with Randle isn't great, but you have to assume they drafted Toppin for a reason, and that's to score","SF,PF",NYK,67,27.4,0.481 (367.2/763.8),0.701 (128.6/183.6),61.6,925.3,387.9,61.6,42.9,51.6,109.2,-0.75,763.8,367.2,183.6,128.6
160,"Matisse Thybulle A defensive stud, but he needs to develop a three-point shot to keep himself on the court","SG,SF",PHI,64,25.1,0.437 (154.9/354.6),0.662 (31.4/47.4),71.0,412.2,133.8,94.7,106.9,55.0,63.4,-0.79,354.6,154.9,47.4,31.4
161,"Svi Mykhailiuk One of the better shooters on the Detroit roster, but he needs to add more elements to his game to be fantasy relevant",SF,DET,67,26.8,0.427 (260.6/610.4),0.816 (83.1/101.8),170.2,773.2,160.8,160.8,59.6,8.7,93.1,-0.85,610.4,260.6,101.8,83.1
162,"Larry Nance Jr. Can put up numbers when spot-starting, but hasn't shown any indication of being anything more than a high energy guy off the bench","PF,C",CLE,56,25.8,0.526 (224.6/426.7),0.698 (50.4/72.2),56.6,556.1,291.8,117.6,61.6,25.2,70.0,-0.86,426.7,224.6,72.2,50.4
163,"Spencer Dinwiddie Dinwiddie's output this season is tied to whether he remains on the Nets roster. If he stays in Brooklyn then he'll still be productive, but he won't be putting up top-80 value.","PG,SG",BRO,64,27.8,0.436 (329.6/755.8),0.782 (282.2/361.0),103.0,1044.5,168.3,313.6,32.0,19.2,160.0,-0.87,755.8,329.6,361.0,282.2
164,"Dillon Brooks Has just scored himself a new 3-year contract, which means he's definitely in Memphis' long-term plans, but his game doesn't translate well to fantasy","SG,SF",MEM,70,28.7,0.411 (417.2/1014.3),0.788 (153.3/194.6),138.6,1126.3,228.9,146.3,63.0,27.3,118.3,-0.90,1014.3,417.2,194.6,153.3
165,Tomas Satoransky More of an end-of-roster kind of guy who's capable of putting up stable numbers when filling in for an injured player,"PG,SG",CHI,67,24.6,0.436 (215.1/493.8),0.829 (94.5/113.9),67.7,592.3,218.4,268.7,74.4,8.0,124.0,-0.94,493.8,215.1,113.9,94.5
166,"Frank Ntilikina Best case scenario Frank becomes a Marcus Smart type player, worst case scenario he remains a Knick for the rest of his career","PG,SG",NYK,68,24.6,0.406 (187.7/462.4),0.818 (73.4/89.8),81.6,531.1,171.4,245.5,75.5,29.9,104.7,-1.05,462.4,187.7,89.8,73.4
167,"Kevin Huerter Is developing a nice all-around fantasy game, but his FG% will hurt you","SG,SF",ATL,67,26.2,0.417 (252.6/605.0),0.825 (53.6/65.0),130.7,688.8,178.2,205.7,50.9,28.1,87.8,-1.08,605.0,252.6,65.0,53.6
168,"Cody Zeller The often injured Zeller is younger than you think, and when he's fit and firing he provides end of the roster value, but that's not often enough (hasn't played more than 62 games since his rookie season in 2013-14).",C,CHA,58,26.1,0.506 (267.4/528.4),0.714 (128.8/180.4),23.8,687.3,400.8,99.2,46.4,41.2,87.6,-1.16,528.4,267.4,180.4,128.8
169,De'Anthony Melton Seems set to continue playing 20 minutes as a backup,"PG,SG",MEM,68,20.2,0.410 (192.4/469.9),0.789 (112.2/142.1),51.0,548.1,259.1,203.3,91.1,21.1,97.9,-1.20,469.9,192.4,142.1,112.2
170,Gary Trent Jr. Is currently showing signs of being a capable rotation player when given the minutes,"SG,SF",POR,64,26.4,0.443 (211.8/478.7),0.794 (51.8/65.3),142.7,618.2,126.7,78.7,72.3,23.7,83.8,-1.23,478.7,211.8,65.3,51.8
171,Monte Morris Has failed to build on his promising rookie season and it looks like his upside is capped as a bench player,"PG,SG",DEN,67,22.7,0.461 (251.9/546.1),0.832 (69.7/83.8),63.0,637.2,126.0,245.2,56.3,14.1,48.9,-1.32,546.1,251.9,83.8,69.7
172,Otto Porter Jr. Otto's value is at an all-time low after a horrible 2019-20 season. Has proven to be a stable fantasy player in prior seasons and could provide value on draft day,"SF,PF",CHI,50,28.4,0.457 (257.5/563.0),0.784 (81.5/104.0),95.0,691.5,191.0,105.0,59.5,24.0,57.0,-1.35,563.0,257.5,104.0,81.5
173,"Jeremy Lamb Is capable of putting up numbers when given the opportunity to play, but he's not somebody a team is willing to start long-term so his minutes will always be capped","SG,SF",IND,58,24.7,0.452 (239.5/530.1),0.834 (102.1/122.4),60.9,642.6,219.2,107.3,60.9,25.5,56.3,-1.40,530.1,239.5,122.4,102.1
174,James Johnson Did some nice things towards the stretch of last season without KAT and could spend time starting at PF,"PF,C",DAL,60,24.7,0.460 (211.2/459.6),0.649 (44.4/68.4),85.8,552.6,268.2,115.2,28.2,67.2,76.2,-1.47,459.6,211.2,68.4,44.4
175,Eric Paschall Looks primed for a 6th man role heading into his second season,"SF,PF",GSW,68,25.8,0.485 (345.4/712.0),0.772 (179.5/232.6),49.0,920.0,306.0,139.4,33.3,13.6,106.8,-1.47,712.0,345.4,232.6,179.5
176,Trevor Ariza Wouldn't be surprised if he's traded again before the season officially starts,"SG,SF",OKL,58,24.8,0.440 (139.8/317.8),0.881 (42.9/48.7),96.9,418.8,280.7,97.4,70.8,12.2,74.8,-1.50,317.8,139.8,48.7,42.9
177,Luguentz Dort The guy is a defensive stud. He has a spot in this league if he can develop a 3-point shot (averaged 2.2 3PM during the playoffs last season),"SG,SF",OKL,70,28.4,0.421 (259.0/615.3),0.791 (103.6/130.9),99.4,720.3,198.1,69.3,77.7,28.7,67.9,-1.51,615.3,259.0,130.9,103.6
178,Langston Galloway,"PG,SG",DET,67,24.1,0.441 (190.3/431.5),0.842 (78.4/93.1),142.7,601.7,136.7,107.2,50.3,14.1,42.9,-1.54,431.5,190.3,93.1,78.4
179,"Thaddeus Young Lauri Markkanen is often injured, so Young still has short-term value as a spot-starter",PF,CHI,67,20.7,0.463 (245.2/530.0),0.629 (40.9/65.0),74.4,605.7,282.7,100.5,79.1,22.8,93.8,-1.57,530.0,245.2,65.0,40.9
180,Jeff Teague Might have some value if he spot-starts since Kemba tends to miss games,"PG,SG",BOS,64,19.4,0.443 (190.7/430.1),0.876 (167.0/190.7),42.9,592.6,113.9,276.5,33.9,19.2,100.5,-1.58,430.1,190.7,190.7,167.0
181,"Anthony Edwards His athletic ability allows him to get to the rim, and when he's not driving he's taking 3s (and sometimes too deep), but he tends to go missing during play and shot a poor % in college",SG,MIN,64,28.2,0.413 (384.6/931.2),0.780 (140.8/180.5),106.9,1017.0,249.6,138.9,77.4,13.4,137.6,-1.59,931.2,384.6,180.5,140.8
182,Cameron Johnson Showed enough last season to earn himself a spot in the rotation as a back-up stretch-4,"SF,PF",PHX,64,24.2,0.437 (218.2/499.8),0.800 (56.3/70.4),135.0,627.8,225.3,84.5,42.2,28.2,74.9,-1.64,499.8,218.2,70.4,56.3
183,"Kendrick Nunn Started last season on a tear, but Miami is deep at the guard spot, and when his shot isn't falling, he doesn't provide much else","PG,SG",MIA,60,26.5,0.441 (325.8/738.0),0.868 (70.8/81.6),108.6,830.4,146.4,178.8,43.2,10.8,92.4,-1.67,738.0,325.8,81.6,70.8
184,"RJ Barrett Let's hope RJ is currently in a gym working on his shooting, because if he can somehow become a respectable shooter, then he's a chance to be a good fantasy player. Until then, he's better suited to points-leagues","SG,SF",NYK,68,34.2,0.423 (409.4/967.6),0.667 (236.0/353.6),104.0,1159.4,397.1,210.8,84.3,29.9,188.4,-1.68,967.6,409.4,353.6,236.0
185,Derrick Favors Moves to a bench role in Utah,"PF,C",UTA,60,18.6,0.620 (190.2/306.6),0.574 (37.2/64.8),0.0,417.6,429.0,74.4,27.6,46.2,51.0,-1.68,306.6,190.2,64.8,37.2
186,Dario Saric If Baynes signs with another team the role of a back-up stretch-5 is his,"PF,C",PHX,60,22.1,0.477 (208.8/438.0),0.840 (85.2/101.4),84.0,586.8,331.2,101.4,32.4,12.0,78.6,-1.69,438.0,208.8,101.4,85.2
187,Danuel House Jr. Didn't have the best on-court (and off-court) bubble experience and he's not somebody to rely on in standard leagues,"SF,PF",HOU,58,28.9,0.430 (204.2/474.4),0.770 (66.1/85.8),110.2,584.6,231.4,71.9,60.9,27.8,44.1,-1.72,474.4,204.2,85.8,66.1
188,"Tristan Thompson Should split minutes at C with Theis, but he needs big minutes to be fantasy relevant","PF,C",BOS,64,24.4,0.520 (265.6/510.7),0.605 (88.3/145.9),10.2,631.0,531.8,109.4,31.4,46.7,94.1,-1.75,510.7,265.6,145.9,88.3
189,"Derrick Jones Jr. Has apparently won the starting spot in Portland, but don't expect him to put up big numbers","SG,SF",POR,54,26.4,0.470 (197.1/419.0),0.761 (101.5/133.4),38.3,533.5,247.9,70.2,63.2,38.3,31.9,-1.80,419.0,197.1,133.4,101.5
190,"Shake Milton His upside is capped on the talented Philly roster, but he should see minutes as a spot-started as they continue to tinker with their lineup","PG,SG",PHI,60,24.7,0.453 (240.6/531.0),0.797 (94.2/118.2),103.8,679.2,162.6,192.6,37.2,15.0,88.8,-1.84,531.0,240.6,118.2,94.2
191,JaMychal Green It doesn't seem like he'll be more than a decent back-up and occasional spot-starter for the rest of his career,"PF,C",DEN,67,20.5,0.465 (172.9/371.9),0.778 (42.2/54.3),99.8,487.1,404.7,52.9,26.8,26.8,59.6,-1.87,371.9,172.9,54.3,42.2
192,Jaxson Hayes Still very raw and rebounding isn't one of his strengths. Should get more minutes this season,C,NOP,67,19.4,0.659 (203.7/308.9),0.632 (142.7/225.8),0.0,550.1,315.6,67.7,32.2,69.7,60.3,-1.92,308.9,203.7,225.8,142.7
193,"Kyle Kuzma Needs to do more than score to be a fantasy target, but it doesn't look like he's capable of producing in more than a few categories","SF,PF",LAL,68,25.8,0.436 (336.6/771.8),0.760 (133.3/175.4),98.6,905.8,315.5,91.1,35.4,27.9,105.4,-2.00,771.8,336.6,175.4,133.3
